Ms Dhoni  
Ravindra Jadeja  
Rachin Ravindra  
Ruturaj Gaikwad  
Shardul Thakur  
Deepak Chahar  
Devon Conway  
Daryl Mitchell  
Maheesh Theekshana  
Matheesha Pathirana  
Mitchell Santner  
Moeen Ali  
Mukesh Choudhary  
Prashant Solanki  
Rajvardhan Hangargekar  
Shivam Dube  
Simarjeet Singh  
Sameer Rizvi  
Tushar Deshpande  
Ajinkya Rahane  
Shaik Rasheed  
Nishant Sindhu  
Ajay Mandal  
Mustafizur Rahman  
Aravelly Avinash  
Axar Patel  
Lalit Yadav  
Vicky Ostwal  
Mitchell Marsh  
David Warner  
Prithvi Shaw  
Yash Dhull  
Khaleel Ahmed  
Lungi Ngidi  
Kuldeep Yadav  
Anrich Nortje  
Praveen Dubey  
Ishant Sharma  
Mukesh Kumar  
Rishabh Pant  
Harry Brook  
Abhishek Porel  
Ricky Bhui  
Tristan Stubbs  
Kumar Kushagra  
Rasikh Dar Salam  
Swastik Chikara  
Shai Hope  
Sumit Kumar  
Jhye Richardson  
B. Sai Sudharsan  
Shubman Gill  
Rashid Khan  
David Miller  
Rahul Tewatia  
Matthew Wade  
Vijay Shankar  
Mohammed Shami  
Wriddhiman Saha  
Jayant Yadav  
Abhinav Manohar  
Sai Kishore  
Kane Williamson  
Darshan Nalkande  
Noor Ahmad  
Josh Little  
Mohit Sharma  
Umesh Yadav  
Sushant Mishra  
Kartik Tyagi  
Manav Suthar  
Azmatullah Omarzai  
Shahrukh Khan  
Robin Minz  
Spencer Johnson  
Andre Russell  
Venkatesh Iyer  
Sunil Narine  
Anukul Roy  
Nitish Rana  
Vaibhav Arora  
Shreyas Iyer  
Rinku Singh  
Harshit Rana  
Varun Chakaravarthy  
Suyash Sharma  
Mitchell Starc  
Chetan Sakariya  
Ramandeep Singh  
Srikar Bharat  
Jason Roy  
Rahmanullah Gurbaz  
Angkrish Raghuvanshi  
Manish Pandey  
Sherfane Rutherford  
Mujeeb ur Rahman  
Gus Atkinson  
Sakib Hussain  
Hardik Pandya  
Rohit Sharma  
Suryakumar Yadav  
Tim David  
Ishan Kishan  
Dewald Brevis  
N. Tilak Varma  
Shreyas Gopal  
Romario Shepherd  
Arjun Tendulkar  
Jason Behrendorff  
Kumar Kartikeya Singh  
Akash Madhwal  
Jasprit Bumrah  
Vishnu Vinod  
Gerald Coetzee  
Nehal Wadhera  
Piyush Chawla  
Dilshan Madushanka  
Shams Mulani  
Nuwan Thusara  
Anshul Kamboj  
Mohammad Nabi  
Shivalik Sharma  
Deepak Hooda  
Ayush Badoni  
Kyle Mayers  
Naveen Ul Haq  
Prerak Mankad  
Marcus Stoinis  
Krishnappa Gowtham  
Krunal Pandya  
Yash Thakur  
Amit Mishra  
Mark Wood  
Ravi Bishnoi  
Mohsin Khan  
Mayank Yadav  
Quinton De Kock  
Nicholas Pooran  
KL Rahul  
Devdutt Padikkal  
Ashton Turner  
Yudhvir Singh  
David Willey  
Arshin Kulkarni  
Shivam Mavi  
Manimaran Siddharth  
Arshad Khan  
Faf Du Plessis  
Virat Kohli  
Rajat Patidar  
Anuj Rawat  
Dinesh Karthik  
Glenn Maxwell  
Cameron Green  
Suyash S Prabhudessai  
Will Jacks  
Mahipal Lomror  
Manoj Bhandage  
Akash Deep  
Karn Sharma  
Mayank Dagar  
Mohammed Siraj  
Reece Topley  
Himanshu Sharma  
Vijaykumar Vyshak  
Alzarri Joseph  
Saurav Chauhan  
Swapnil Singh  
Lockie Ferguson  
Tom Curran  
Yash Dayal  
Sonu Yadav  
